floating_liftnet_sample_data
current_suitability,wave_condition,wind_condition,water_clarity,water_color,moon_phase_suitability,sst_suitability,depth_condition,salinity_stability,weather_condition,outcome_high_risk,outcome_good_performance,reward
0,0,0,100,,67,,50,,33,1,0,-1
67,67,67,67,100,67,,20,,67,1,1,-1
67,67,67,67,100,67,,30,,67,0,0,1
67,67,67,0,100,33,,30,,0,1,0,-1
33,33,33,67,100,100,,50,,33,0,0,1
67,67,67,67,75,67,,40,,67,0,1,1
33,33,33,33,100,100,,70,,33,0,1,1
33,33,33,100,100,100,,70,,67,0,0,1
33,33,33,100,100,100,,50,,67,0,0,1
33,33,33,100,100,100,,85,,67,1,0,-1
33,33,33,33,100,100,,,,33,1,0,-1
33,33,33,100,100,100,,85,,67,1,0,-1
67,67,67,67,0,67,,,,67,1,1,-1
0,0,0,67,100,67,,40,,0,0,0,1
33,33,33,33,100,33,,55,,33,0,0,1
67,0,0,67,100,33,,,,100,1,,-1
67,33,33,67,100,33,,40,,67,1,1,-1
67,67,67,67,100,67,,30,,67,0,1,1
67,67,67,67,100,67,,60,,67,1,1,-1
67,67,67,67,100,67,,60,,67,0,0,1
33,33,100,100,100,67,,,,100,1,1,-1
67,67,67,67,100,67,,75,,67,0,1,1
67,67,33,67,100,67,,50,,33,0,0,1
67,67,67,67,100,67,,45,,67,1,1,-1
67,67,67,67,100,67,,70,,67,0,1,1
67,67,67,67,100,67,,200,,67,0,0,1
67,67,67,67,100,67,,185,,67,0,0,1
67,67,67,67,100,67,,40,,67,0,1,1
67,67,67,67,100,67,,50,,67,0,0,1
67,67,67,67,100,33,,20,,67,1,0,-1
67,67,67,67,100,67,,30,,67,1,0,-1
67,67,67,67,100,67,,55,,67,0,,1
67,67,67,67,100,0,,30,,67,0,1,1
0,33,33,33,100,67,,53,,67,0,1,1
0,0,0,33,,67,,40,,67,0,0,1
67,67,67,67,100,67,,50,,67,0,1,1
67,67,67,67,100,67,,35,,67,1,0,-1
67,67,67,33,0,33,,42.5,,33,1,0,-1
67,67,67,67,0,67,,40,,67,0,0,1
67,67,67,67,100,33,,80,,67,1,1,-1
0,33,0,67,100,0,,30,,33,0,1,1
33,33,33,100,100,67,,50,,33,0,1,1
33,33,33,67,100,67,,30,,33,0,0,1
67,67,67,67,75,33,,,,67,1,,-1
0,0,0,67,100,33,,60,,67,1,0,-1
100,100,100,67,100,67,,95,,67,0,1,1
67,67,67,67,100,100,,45,,67,0,0,1
100,100,100,100,100,100,,55,,100,0,0,1
67,67,67,100,100,33,,40,,100,0,1,1
67,67,33,67,100,67,,32.5,,67,1,0,-1
67,67,67,67,100,33,,40,,67,0,0,1
67,67,67,67,100,33,,40,,67,1,0,-1
67,67,67,67,0,0,,27.5,,67,0,0,1
67,67,67,67,0,0,,27.5,,67,0,0,1
0,0,0,67,100,33,,35,,33,1,0,-1
67,67,67,67,0,0,,40,,67,0,0,1
67,67,67,67,0,33,,40,,67,0,0,1
67,67,67,67,0,33,,40,,67,0,0,1
67,67,67,67,0,0,,40,,67,0,0,1
67,67,67,67,0,0,,35,,67,0,0,1
