sea_condition,current_suitability,fish_presence_sign,bait_availability,hook_line_condition,time_suitability,fuel_cost,market_demand,outcome_high_risk,outcome_good_performance,reward
64,85,44,61,83,93,99,65,0,1,1
25,12,50,97,59,55,84,94,0,0,1
71,15,83,42,74,70,94,45,0,0,1
81,39,52,16,74,59,18,95,0,0,1
76,79,76,98,81,49,58,84,0,1,1
73,47,29,49,91,57,32,52,0,0,1
78,89,15,34,50,88,57,45,0,0,1
21,20,78,47,80,85,60,18,0,0,1
99,92,48,73,94,97,99,91,0,1,1
95,81,92,78,24,45,79,27,0,1,1
66,91,87,23,37,72,89,96,0,1,1
56,56,31,73,36,77,10,84,0,0,1
33,59,70,10,74,67,80,73,0,0,1
85,29,76,74,86,86,66,45,0,1,1
37,71,65,63,31,73,64,67,0,0,1
13,84,43,32,99,25,25,28,0,0,1
15,87,96,31,74,92,91,52,0,0,1
44,79,78,70,18,37,48,27,0,0,1
29,56,53,73,44,54,24,73,0,0,1
20,45,78,28,35,77,99,56,1,0,-1
24,76,39,73,85,25,79,80,0,0,1
57,29,89,44,94,82,17,89,0,1,1
72,35,22,38,14,91,41,72,0,0,1
22,32,19,81,72,92,59,37,0,0,1
91,98,79,37,62,42,66,81,0,1,1
68,51,68,30,53,28,23,72,0,0,1
62,19,28,78,84,49,47,56,0,0,1
73,85,73,56,22,43,97,10,0,0,1
72,16,49,91,16,64,12,14,0,0,1
26,99,60,35,48,31,93,36,0,0,1
86,86,16,80,20,43,75,54,0,0,1
97,34,13,51,61,89,67,22,0,0,1
44,61,60,29,84,61,53,46,0,0,1
39,12,63,42,25,99,15,48,0,0,1
95,79,75,94,28,94,42,83,0,1,1
56,70,49,90,69,95,54,12,0,0,1
97,79,36,47,81,38,46,43,0,0,1
19,23,89,24,81,96,98,97,0,0,1
68,79,32,58,15,51,78,64,0,0,1
12,28,19,77,60,36,94,64,1,0,-1
67,37,82,63,98,61,55,39,0,1,1
64,15,69,47,26,55,60,79,0,0,1
75,73,46,49,87,94,43,58,0,1,1
60,11,75,76,72,12,24,65,0,0,1
79,11,63,24,51,99,40,63,0,0,1
58,93,49,49,15,30,51,73,0,0,1
94,24,99,93,77,42,57,43,0,1,1
72,77,31,66,54,23,50,97,0,0,1
15,95,22,27,17,87,20,29,0,0,1
55,63,87,66,93,70,74,66,0,1,1
25,33,96,98,86,87,56,21,0,1,1
76,50,50,16,99,13,51,30,0,0,1
74,55,94,31,47,31,77,39,0,0,1
