net_fishing_sample_data
sea_condition,fishing_ground_potential,net_condition,fuel_cost,crew_availability,market_demand,ice_availability,outcome_high_risk,outcome_good_performance,reward
67,50,67,"225,000",18,100,100,0,1,1
67,90,67,"225,000",18,100,100,0,0,1
33,60,67,"225,000",17,100,100,0,0,1
67,90,67,"225,000",2,100,100,0,0,1
67,90,67,"225,000",3,100,100,0,1,1
67,90,100,"225,000",17,100,100,0,0,1
67,50,33,"225,000",15,100,100,1,1,-1
67,70,67,"225,000",20,100,100,1,0,-1
67,75,67,"225,000",23,100,100,0,0,1
67,90,67,"225,000",18,100,100,0,0,1
67,60,67,"225,000",15,100,100,1,1,-1
33,90,100,"225,000",17,100,100,0,0,1
67,80,67,"225,000",19,100,100,0,0,1
67,90,67,"225,000",16,100,100,0,1,1
67,80,67,"225,000",19,100,100,0,1,1
67,80,67,"225,000",1,100,100,0,0,1
67,75,67,"225,000",1,100,100,1,1,-1
33,75,67,"225,000",2,100,100,0,0,1
0,90,67,"225,000",4,100,100,1,0,-1
67,70,67,"225,000",3,100,100,1,1,-1
67,80,67,"225,000",2,100,100,0,0,1
67,80,67,"225,000",5,100,100,0,0,1
67,80,67,"225,000",4,100,100,0,0,1
67,80,67,"225,000",2,,100,0,0,1
67,80,67,"225,000",3,100,100,0,0,1
67,80,67,"225,000",5,100,100,0,1,1
67,80,67,"225,000",3,100,100,0,1,1
67,80,67,"225,000",4,,100,0,1,1
67,80,67,"225,000",2,100,100,0,0,1
67,80,67,"225,000",2,100,100,0,1,1
67,80,67,"225,000",4,100,100,0,1,1
0,70,67,"225,000",4,100,100,1,0,-1
67,80,67,"225,000",4,100,100,0,1,1
100,65,100,"225,000",1,100,100,0,0,1
67,80,67,"225,000",2,100,100,0,0,1
67,80,67,"225,000",3,100,100,0,0,1
67,80,67,"225,000",2,100,100,1,0,-1
67,80,67,"225,000",1,100,100,0,1,1
67,80,67,"225,000",2,100,100,0,0,1
100,85,67,"225,000",1,100,100,0,0,1
33,70,67,"225,000",4,100,100,0,1,1
67,60,67,"225,000",3,100,100,0,1,1
67,80,67,"225,000",3,100,100,1,0,-1
67,70,67,"225,000",3,100,100,0,1,1
67,80,67,"225,000",4,100,100,0,1,1
33,70,67,"225,000",3,100,100,0,0,1
67,80,67,"225,000",2,100,100,1,0,-1
67,80,67,"225,000",3,100,100,0,0,1
33,90,67,"225,000",3,100,100,0,0,1
67,80,33,"225,000",2,100,100,0,0,1
33,70,33,"225,000",3,100,100,0,0,1
67,80,0,"225,000",2,100,100,0,1,1
67,80,33,"225,000",4,100,100,0,0,1
67,70,33,"225,000",3,100,100,1,0,-1
67,95,67,"225,000",6,100,100,1,0,-1
0,80,33,"225,000",3,100,100,0,0,1
67,90,67,"225,000",2,100,100,1,0,-1
67,75,33,"225,000",2,100,100,0,0,1
0,80,67,"225,000",3,100,100,1,0,-1
67,90,67,"225,000",3,100,100,0,0,1
67,95,67,"225,000",3,100,100,1,1,-1
67,90,67,"225,000",2,100,100,1,0,-1
67,85,67,"225,000",2,100,100,0,0,1
67,70,33,"225,000",3,100,100,0,1,1
67,80,67,"225,000",3,100,100,0,0,1
67,75,67,"225,000",3,100,100,0,0,1
33,70,33,"225,000",1,100,100,0,0,1
67,85,67,"225,000",3,100,100,0,0,1
67,75,67,"225,000",4,100,100,1,0,-1
67,70,67,"225,000",2,100,100,1,0,-1
67,80,67,"225,000",4,100,100,0,0,1
67,85,67,"225,000",3,100,100,0,0,1
67,70,67,"225,000",2,100,100,1,0,-1
67,50,67,"225,000",4,100,100,1,0,-1
67,70,67,"225,000",3,100,100,0,0,1
0,70,67,"225,000",2,100,100,1,0,-1
67,50,67,"225,000",4,100,100,1,0,-1
67,80,67,"225,000",4,100,100,0,0,1
67,70,67,"225,000",3,100,100,0,0,1
0,70,33,"225,000",2,100,100,0,0,1
33,90,67,"225,000",3,100,100,1,0,-1
67,70,67,"225,000",3,100,100,0,0,1
67,80,67,"225,000",3,100,100,0,0,1
67,75,67,"225,000",3,100,100,1,0,-1
67,80,33,"225,000",2,100,100,0,0,1
67,95,67,"225,000",6,100,100,1,0,-1
67,70,67,"225,000",4,100,100,1,0,-1
67,90,67,"225,000",6,100,100,1,0,-1
67,95,67,"225,000",6,100,100,1,0,-1
67,90,67,"225,000",6,100,100,0,0,1
67,50,33,"225,000",3,100,100,0,1,1
100,85,0,"225,000",2,100,100,1,0,-1
67,80,67,"225,000",3,100,100,0,0,1
67,80,67,"225,000",3,100,100,0,0,1
67,60,33,"225,000",3,100,100,0,0,1
100,85,0,"225,000",2,100,100,1,0,-1
67,80,67,"225,000",2,100,100,0,0,1
67,80,67,"225,000",3,100,100,0,0,1
67,80,67,"225,000",3,100,100,0,0,1
67,80,67,"225,000",2,100,100,0,0,1
67,50,33,"225,000",3,100,100,0,1,1
67,80,67,"225,000",2,100,100,0,0,1
67,70,67,"225,000",3,100,100,1,0,-1
33,85,67,"225,000",3,100,100,1,0,-1
67,80,67,"225,000",2,100,100,0,0,1
33,85,67,"225,000",3,100,100,1,0,-1
67,85,67,"225,000",4,100,100,0,0,1
67,70,67,"225,000",3,100,100,1,0,-1
33,85,67,"225,000",3,100,100,1,0,-1
67,85,67,"225,000",3,100,100,0,0,1
67,85,67,"225,000",3,100,100,0,0,1
67,80,67,"225,000",2,100,100,0,0,1
0,80,33,"225,000",1,100,100,1,0,-1
67,70,67,"225,000",3,100,100,1,1,-1
100,85,0,"225,000",2,100,100,1,0,-1
67,85,67,"225,000",2,100,100,0,0,1
67,70,67,"225,000",3,100,100,1,1,-1
67,85,67,"225,000",3,100,100,0,0,1
67,85,67,"225,000",2,100,100,0,0,1
67,85,67,"225,000",2,100,100,0,0,1
67,80,67,"225,000",2,100,100,0,0,1
