raw_freshness,cold_chain_access,hygiene_condition,sorting_quality,handling_delay,packaging_condition,transport_distance,outcome_high_risk,outcome_good_performance,reward
41,49,38,74,94,72,15,0,0,1
91,27,69,68,86,41,94,0,0,1
63,31,92,88,13,54,37,0,1,1
33,32,62,64,23,67,90,0,0,1
54,26,65,48,64,75,24,0,0,1
37,28,46,76,16,99,84,0,0,1
71,44,64,71,54,31,62,0,0,1
78,35,30,85,66,49,54,0,0,1
93,15,18,49,44,24,66,0,0,1
52,62,60,76,64,10,45,0,0,1
79,96,34,13,12,79,32,0,0,1
85,27,40,30,64,83,80,0,0,1
57,99,89,45,23,83,97,0,1,1
73,24,72,22,68,13,59,0,0,1
15,12,58,25,18,63,81,1,0,-1
80,16,30,67,56,88,52,0,0,1
44,93,82,10,42,60,94,0,0,1
76,67,86,67,88,53,25,0,1,1
91,89,38,11,75,64,22,0,0,1
18,44,57,15,73,17,39,0,0,1
89,49,57,68,39,90,69,0,1,1
75,48,32,76,11,11,40,0,0,1
17,16,88,70,73,74,47,1,0,-1
96,42,17,86,79,88,36,0,0,1
40,81,53,61,26,61,67,0,0,1
74,12,42,99,15,67,41,0,0,1
44,78,77,32,58,34,80,0,0,1
33,94,90,98,46,77,43,0,1,1
45,31,65,54,32,10,71,0,0,1
64,54,95,49,55,33,12,0,0,1
77,61,32,72,91,78,42,0,0,1
15,14,51,41,95,48,61,1,0,-1
81,36,68,79,29,35,96,0,0,1
42,29,63,77,81,16,21,0,0,1
22,70,42,86,27,79,96,0,0,1
34,74,34,53,14,61,95,0,0,1
70,44,64,94,58,85,54,0,1,1
54,40,74,63,44,73,33,0,0,1
47,41,62,40,71,16,49,0,0,1
81,53,95,83,82,38,56,0,1,1
15,67,39,36,38,89,65,0,0,1
27,16,80,13,59,60,41,0,0,1
59,51,77,69,91,14,72,0,0,1
39,33,66,21,40,96,39,0,0,1
99,12,20,94,26,24,95,0,0,1
68,49,88,77,91,51,53,0,0,1
35,63,31,16,52,71,72,0,0,1
28,13,12,23,86,65,93,1,0,-1
82,95,87,75,95,23,86,0,1,1
19,95,18,94,67,15,17,0,0,1
12,97,50,12,55,58,54,0,0,1
55,24,71,88,13,77,76,0,0,1
89,65,82,72,91,88,34,0,1,1
31,58,65,88,23,44,22,0,0,1
19,78,98,19,24,92,36,0,0,1
92,42,38,73,15,15,52,0,0,1
84,55,74,67,57,21,37,0,0,1
30,92,53,83,29,32,37,0,0,1
89,73,76,22,48,63,16,0,1,1
71,88,83,27,95,47,69,0,0,1
45,63,33,28,43,27,52,0,0,1
39,19,48,95,61,48,48,0,0,1
28,45,50,42,58,73,13,0,0,1
40,44,73,72,30,39,46,0,0,1
30,86,87,25,32,11,90,0,0,1
49,87,77,59,56,60,37,0,0,1
97,74,63,19,20,94,72,0,1,1
94,89,98,67,59,95,89,0,1,1
70,57,20,46,68,58,16,0,0,1
22,50,16,37,17,40,86,0,0,1
21,57,24,10,41,84,42,0,0,1
38,26,78,60,33,19,42,0,0,1
95,60,50,92,64,90,36,0,1,1
37,25,46,25,99,68,51,1,0,-1
64,47,70,65,27,56,85,0,0,1
65,47,70,71,90,37,82,0,0,1
92,46,90,35,59,86,66,0,1,1
92,42,67,64,20,72,26,0,1,1
21,60,10,22,80,90,17,0,0,1
59,13,76,20,11,52,15,0,0,1
60,58,99,70,55,32,10,0,0,1
25,60,50,63,29,28,46,0,0,1
96,74,88,50,19,80,33,0,1,1
76,84,34,88,72,64,89,0,1,1
29,26,18,23,84,46,84,1,0,-1
45,43,10,19,79,13,54,0,0,1
60,54,41,32,12,70,27,0,0,1
57,56,79,90,66,53,90,0,0,1
86,13,24,40,32,24,48,0,0,1
15,59,31,83,46,33,31,0,0,1
95,77,18,91,19,68,76,0,1,1
85,43,43,43,82,84,16,0,0,1
46,34,42,20,63,30,74,0,0,1
24,21,73,62,93,23,76,1,0,-1
19,32,38,33,80,85,11,1,0,-1
26,95,41,49,58,20,75,0,0,1
33,84,30,33,11,36,85,0,0,1
93,88,85,23,22,78,40,0,1,1
44,71,29,41,95,93,63,0,0,1
18,90,90,68,71,22,45,0,0,1
13,69,68,73,86,99,78,1,0,-1
53,95,66,23,76,68,23,0,0,1
30,89,29,98,98,87,63,0,0,1
74,18,24,83,32,11,98,0,0,1
68,54,74,12,46,15,19,0,0,1
65,35,50,48,46,11,54,0,0,1
25,70,47,38,83,63,49,0,0,1
63,56,84,32,82,99,98,0,0,1
91,76,11,14,34,46,46,0,0,1
47,41,29,36,50,63,45,0,0,1
21,75,23,29,58,49,66,0,0,1
50,86,54,97,95,38,54,0,0,1
21,62,63,64,88,84,12,0,0,1
62,76,60,47,21,85,26,0,1,1
12,45,43,99,84,53,19,1,0,-1
27,91,53,85,83,56,21,0,0,1
49,85,26,66,60,75,52,0,0,1
29,85,90,44,70,67,26,0,0,1
52,24,61,23,28,83,95,0,0,1
40,28,82,35,46,40,36,0,0,1
63,90,74,64,61,85,82,0,1,1
36,63,41,86,58,61,69,0,0,1
44,49,26,87,65,43,51,0,0,1
26,94,35,10,11,62,21,0,0,1
43,59,11,76,89,47,84,1,0,-1
56,68,65,11,97,87,85,0,0,1
89,50,21,52,42,66,26,0,0,1
48,80,93,41,93,68,97,0,0,1
83,54,69,89,91,96,24,0,1,1
91,77,39,46,56,25,53,0,0,1
91,64,22,64,88,17,62,0,0,1
48,13,78,77,48,68,80,0,0,1
73,96,20,98,61,30,99,0,0,1
51,66,27,91,74,75,23,0,0,1
14,42,16,72,34,49,14,0,0,1
71,89,78,10,61,30,28,0,0,1
45,50,53,80,73,74,61,0,0,1
57,54,42,56,82,11,15,0,0,1
69,72,43,40,87,87,71,0,0,1
41,99,84,32,25,26,23,0,0,1
81,43,79,62,87,70,64,0,0,1
48,56,20,27,50,14,81,0,0,1
31,31,81,65,62,60,64,0,0,1
31,28,94,37,11,35,35,0,0,1
72,68,92,41,50,26,97,0,0,1
37,11,66,41,43,75,59,0,0,1
87,89,74,88,37,76,57,0,1,1
39,42,70,28,15,86,31,0,0,1
79,72,68,36,13,14,72,0,0,1
94,15,50,49,17,66,93,0,0,1
87,89,94,83,73,65,53,0,1,1
60,67,73,17,50,86,12,0,0,1
17,37,83,86,95,49,29,1,0,-1
39,25,80,32,29,88,43,0,0,1
20,75,58,83,71,64,63,0,0,1
25,25,13,24,64,10,35,1,0,-1
29,17,85,85,51,21,91,1,0,-1
88,72,24,69,57,27,43,0,0,1
72,58,47,49,23,98,35,0,0,1
75,84,25,80,94,27,76,0,0,1
41,61,68,39,35,31,65,0,0,1
86,56,72,78,50,60,78,0,1,1
53,15,50,18,29,79,34,0,0,1
41,45,76,68,37,88,36,0,0,1
36,16,32,68,54,82,76,1,0,-1
61,11,90,14,77,31,32,0,0,1
40,92,75,85,43,59,75,0,1,1
13,66,67,75,94,40,47,0,0,1
39,97,49,53,90,55,60,0,0,1
61,65,58,97,46,75,18,0,1,1
45,13,41,29,75,13,70,1,0,-1
48,25,65,81,62,17,18,0,0,1
70,21,66,99,28,73,94,0,0,1
74,54,59,18,12,44,99,0,0,1
73,45,12,62,37,85,31,0,0,1
92,67,97,12,74,18,83,0,0,1
24,93,91,38,81,53,93,0,0,1
31,56,24,87,96,90,62,1,0,-1
15,15,23,35,52,60,32,1,0,-1
43,45,40,55,78,17,70,0,0,1
25,31,97,14,19,62,27,0,0,1
45,59,89,92,40,44,98,0,1,1
51,94,61,41,76,39,93,0,0,1
33,89,89,31,22,92,80,0,1,1
71,13,40,50,45,13,12,0,0,1
60,62,54,65,63,79,86,0,0,1
37,39,20,51,50,64,66,0,0,1
30,39,68,38,14,59,14,0,0,1
23,89,65,89,53,69,96,0,0,1
62,49,41,11,18,77,98,0,0,1
11,26,35,99,71,76,51,1,0,-1
57,49,49,24,45,52,27,0,0,1
43,78,80,76,49,86,36,0,1,1
82,43,43,53,31,68,85,0,0,1
18,45,62,96,80,13,77,1,0,-1
24,58,74,60,77,90,67,0,0,1
85,18,38,41,47,81,49,0,0,1
74,90,98,14,27,96,20,0,1,1
76,15,46,47,86,93,69,0,0,1
72,14,65,97,17,92,21,0,1,1
89,79,69,29,55,22,27,0,0,1
93,77,33,88,74,78,30,0,1,1
48,93,26,56,34,48,72,0,0,1
85,57,69,31,17,99,39,0,1,1
44,61,25,61,21,57,98,0,0,1
38,24,27,17,16,72,37,0,0,1
59,79,78,20,29,79,89,0,0,1
35,29,54,43,83,84,71,1,0,-1
72,15,32,55,57,95,21,0,0,1
10,15,49,11,71,14,33,1,0,-1
88,17,71,15,92,30,98,0,0,1
89,10,45,83,56,12,19,0,0,1
11,45,29,55,56,12,84,1,0,-1
62,42,81,97,59,59,50,0,0,1
81,10,51,51,89,92,19,0,0,1
62,46,82,93,29,43,95,0,1,1
44,23,62,76,71,19,45,0,0,1
42,58,15,24,39,89,60,0,0,1
66,35,61,83,99,14,54,0,0,1
72,31,72,98,22,36,81,0,0,1
